iter	Passed	Remaining
0	2	2784
1	4	2441
2	6	2234
3	8	2131
4	10	2079
5	12	2085
6	14	2072
7	16	2073
8	19	2108
9	21	2100
10	23	2103
11	25	2084
12	27	2063
13	29	2061
14	30	2035
15	33	2039
16	35	2051
17	37	2046
18	39	2040
19	41	2029
20	43	2030
21	45	2023
22	47	2010
23	49	2022
24	51	2027
25	54	2032
26	56	2031
27	58	2020
28	60	2013
29	62	2012
30	64	2017
31	66	2010
32	68	2005
33	70	1998
34	72	1990
35	74	1983
36	75	1975
37	77	1973
38	80	1973
39	82	1970
40	84	1971
41	86	1971
42	88	1965
43	90	1961
44	92	1961
45	94	1954
46	96	1953
47	98	1947
48	100	1944
49	102	1943
50	104	1938
51	106	1936
52	108	1931
53	110	1928
54	112	1928
55	114	1925
56	116	1921
57	118	1918
58	120	1914
59	121	1911
60	123	1908
61	125	1904
62	128	1906
63	130	1904
64	132	1900
65	134	1896
66	135	1892
67	138	1893
68	140	1890
69	142	1888
70	144	1886
71	146	1884
72	148	1882
73	150	1880
74	152	1878
75	154	1876
76	156	1874
77	158	1875
78	160	1872
79	163	1881
80	165	1879
81	167	1878
82	169	1875
83	171	1872
84	174	1879
85	177	1885
86	179	1884
87	181	1881
88	183	1878
89	185	1874
90	187	1872
91	189	1870
92	191	1870
93	194	1875
94	196	1872
95	198	1870
96	200	1866
97	202	1864
98	204	1862
99	206	1860
100	208	1857
101	210	1853
102	212	1851
103	214	1848
104	216	1844
105	218	1841
106	220	1839
107	222	1838
108	224	1836
109	226	1834
110	228	1831
111	230	1830
112	232	1826
113	234	1823
114	236	1820
115	238	1818
116	240	1816
117	242	1812
118	244	1809
119	246	1805
120	248	1802
121	250	1799
122	251	1796
123	253	1794
124	256	1792
125	257	1788
126	259	1786
127	261	1783
128	263	1781
129	265	1778
130	267	1776
131	269	1774
132	272	1775
133	274	1772
134	276	1770
135	278	1767
136	280	1764
137	281	1761
138	284	1760
139	286	1760
140	288	1758
141	290	1757
142	292	1755
143	294	1753
144	296	1750
145	299	1750
146	301	1748
147	303	1747
148	305	1744
149	307	1741
150	309	1739
151	311	1735
152	313	1732
153	315	1730
154	317	1729
155	319	1726
156	321	1723
157	322	1721
158	324	1718
159	326	1716
160	328	1714
161	331	1713
162	333	1710
163	335	1708
164	337	1705
165	339	1703
166	340	1700
167	342	1698
168	345	1696
169	347	1694
170	349	1692
171	351	1690
172	353	1688
173	355	1685
174	357	1683
175	359	1681
176	361	1678
177	363	1677
178	365	1675
179	367	1673
180	369	1670
181	371	1669
182	373	1667
183	375	1665
184	377	1664
185	379	1662
186	382	1661
187	384	1658
188	386	1656
189	388	1654
190	390	1653
191	392	1652
192	394	1650
193	396	1648
194	398	1646
195	400	1644
196	402	1641
197	404	1639
198	406	1637
199	408	1635
200	411	1634
201	413	1632
202	415	1630
203	417	1627
204	419	1625
205	421	1622
206	422	1620
207	425	1619
